id_order,brand_cat
404395,Apple - smartphone
404395,Apple - extended warranty
404447,Apple - smartphone
404458,Apple - smartphone
404458,Apple - extended warranty
404500,Apple - laptop
404589,LG - display
404688,Apple - laptop
404688,Apple - extended warranty
402779,LG - display
404781,Apple - smartphone
404781,Apple - extended warranty
404817,Apple - tablet
404820,Apple - laptop
404820,Apple - extended warranty
404950,Apple - laptop
404950,Apple - extended warranty
405043,Apple - smartphone
405043,Apple - extended warranty
405073,Apple - laptop
405234,Apple - laptop
405280,Apple - smartphone
405424,Apple - smartwhatch
405450,Apple - smartwhatch
405448,Apple - pc
405497,Pack - pc
405525,Apple - laptop
405641,Pack - pc
405641,Apple - extended warranty
405510,Apple - smartphone
405763,Apple - pc
405763,BenQ - display
404810,Apple - tablet
405827,Apple - tablet
405790,Apple - smartphone
405964,Apple - laptop
406074,Apple - smartphone
406180,Pack - pc
406260,Apple - laptop
404719,Apple - smartphone
406362,Apple - laptop
406425,LG - display
406425,Apple - extended warranty
406598,Apple - tablet
404719,Apple - laptop
406722,BenQ - display
406910,Apple - smartphone
406924,Apple - smartphone
407212,Apple - smartphone
407212,Apple - laptop
407228,Apple - laptop
407228,Dell - display
407402,Pack - pc
407449,Apple - smartphone
407465,Apple - pc
407489,Apple - smartphone
407934,Apple - smartphone
407987,Apple - laptop
408129,Apple - smartphone
408231,Apple - laptop
408234,Apple - smartphone
408330,Apple - laptop
408346,Apple - laptop
407953,Apple - pc
406567,Apple - pc
406926,Apple - smartwhatch
